master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Kubernetes,121,201404,4,0,33323,53
Stata,214,201905,65,39,140823,88
Selenium,205,201502,14,250,89734,85
Cisco Application Centric Infrastructure,264,201705,41,3,119820,103
Online Analytical Processing,166,201903,63,55,123132,70
Junit,118,201710,46,438,128582,51
Secret Security Clearance,276,201610,34,29,95676,107
SQL Server Reporting Services,148,201405,5,87,31909,61
Blockchain,39,201704,40,0,104890,18
Internal Auditor,108,201901,61,130,122037,48
Mergers and Acquisitions,135,201711,47,83,102152,57
CICS,55,201808,56,33,149917,25
The Raiser's Edge,37,201707,43,2,101309,17
T-SQL,232,201506,18,189,99253,92
Revit,33,201802,50,277,109017,13
Drupal,73,201503,15,73,102726,36
erwin,80,201508,20,101,94594,38
NoSQL,165,201507,19,435,97791,69
AutoCAD,31,201803,51,712,121459,12
Delphi Technology,68,201508,20,23,94594,32
Marketo,129,201510,22,84,98076,56
Revit,33,201709,45,178,114349,13
SQL Server,147,201407,7,903,68567,60
Django,71,201809,57,2,114604,34
Certified Financial Planner,45,201712,48,1,76994,23
The Raiser's Edge,37,201904,64,0,132847,17
Yardi,248,201412,12,1,63051,98
SQL Server,147,201503,15,1777,102726,60
Junit,118,201405,5,52,31909,51
Computer Aided Design and Drafting,61,201503,15,136,102726,27
Delphi Technology,68,201506,18,7,99253,32
After Effects,5,201506,18,50,99253,3
AWS Cloud,34,201804,52,535,119002,14
Revit,33,201605,29,130,89037,13
After Effects,5,201704,40,38,104890,3
Marketo,129,201512,24,0,70310,56
Online Analytical Processing,166,201801,49,29,115683,70
QuickBooks,109,201711,47,34,102152,49
Blockchain,39,201612,36,0,62773,18
XHTML,246,201610,34,68,95676,97
Apache HTTP Server,20,201906,66,1,102962,8
QuickBooks,109,201607,31,48,88166,49
Data Entry Software,66,201508,20,185,94594,31
Mastercam,58,201907,67,7,26524,26
After Effects,5,201706,42,47,112365,3
XHTML,246,201606,30,13,98515,97
Cognos Impromptu,100,201707,43,0,101309,44
Natural Language Processing,270,201704,40,43,104890,105
ASP.NET,28,201904,64,837,132847,10
AEM Developer,266,201809,57,67,114604,104
Data Entry Software,66,201702,38,174,92181,31
Outlook,142,201703,39,2820,110263,59
T-SQL,232,201812,60,163,82761,92
MicroStrategy,153,201503,15,170,102726,63
Cost Accounting,63,201803,51,81,121459,29
Golang,91,201705,41,57,119820,43
ActiveX,2,201509,21,2,93766,1
MySQL,158,201610,34,448,95676,66
SQL Server,147,201606,30,1376,98515,60
Workforce Now,13,201605,29,4,89037,6
Bash,35,201403,3,24,32230,15
Certified Financial Planner,45,201707,43,0,101309,23
QlikView,186,201604,28,45,91296,74
T-SQL,232,201410,10,80,106289,92
Natural Language Processing,270,201706,42,1,112365,105
Stata,214,201602,26,1,87681,88
Network Support,163,201402,2,64,27637,68
ASP.NET,28,201705,41,705,119820,10
SQL Server Reporting Services,148,201412,12,72,63051,61
QuickBooks,109,201512,24,30,70310,49
GIS Software,89,201801,49,7,115683,42
Ruby,194,201705,41,483,119820,78
Dynamics,138,201502,14,3641,89734,58
InfoSphere DataStage,102,201711,47,153,102152,45
Ruby on Rails,195,201901,61,204,122037,79
Django,71,201804,52,41,119002,34
NoSQL,165,201609,33,207,95325,69
Switching and Routing,220,201502,14,223,89734,89
Linux  ,126,201706,42,3442,112365,54
SolidWorks,259,201804,52,256,119002,101
Selenium,205,201507,19,479,97791,85
Sheet Metal Mechanic,206,201805,53,87,124699,86
GIS Software,89,201809,57,4,114604,42
Dynamics,138,201702,38,2631,92181,58
The Raiser's Edge,37,201711,47,2,102152,17
Django,71,201404,4,1,33323,34
Linux Scripting,127,201707,43,9,101309,55
Junit,118,201608,32,261,104211,51
ActionScript,4,201708,44,20,123189,2
MySQL,158,201708,44,334,123189,66
Blockchain,39,201703,39,1,110263,18
Visual Basic,238,201505,17,1364,88049,93
VPN,241,201704,40,272,104890,95
ActiveX,2,201802,50,5,109017,1
VPN,241,201506,18,411,99253,95
Ruby on Rails,195,201906,66,27,102962,79
Data Entry Software,66,201711,47,498,102152,31
Dreamweaver,7,201707,43,18,101309,4
Golang,91,201903,63,11,123132,43
Certified Credit Professional,44,201507,19,9,97791,22
Top Secret Security Clearance,274,201708,44,15,123189,106
Linux  ,126,201511,23,1961,89588,54
QlikView,186,201809,57,49,114604,74
Dynamics,138,201407,7,2427,68567,58
Delphi Technology,68,201701,37,4,93237,32
Delphi Technology,68,201807,55,5,119017,32
Minitab,156,201406,6,10,32800,65
SketchUp Pro,230,201506,18,10,99253,91
TIG Welding,229,201412,12,122,63051,90
Dynamics,138,201804,52,2561,119002,58
Linux  ,126,201406,6,406,32800,54
Spring Boot,211,201706,42,194,112365,87
Dynamics,138,201611,35,2176,83334,58
Chatbot,53,201412,12,0,63051,24
Risk Analyst,192,201404,4,55,33323,76
MicroStrategy,153,201707,43,34,101309,63
Revit,33,201510,22,127,98076,13
FileMaker Pro,85,201407,7,2,68567,40
Risk Analyst,192,201809,57,505,114604,76
Visual Basic,238,201507,19,1406,97791,93
Epic Systems,79,201812,60,202,82761,37
CATIA,42,201810,58,61,138853,20
Augmented Reality,30,201710,46,3,128582,11
TIG Welding,229,201709,45,276,114349,90
