minimum,gradient,curve,master_Term_id,best_fit_flag,negative_curve_flag
725.0062847,7.32E-07,2,2,N,N
725.0064017,7.34E-07,1,2,N,N
725.0272307,7.47E-07,3,2,N,N
670.5105497,0,4,2,Y,N
1103.599293,-6.50E-06,2,4,N,Y
1832.713573,1.85E-07,1,4,N,N
1010.477347,-1.90E-06,3,4,Y,Y
1098.184533,-6.26E-06,4,4,N,Y
2089.663188,-7.71E-06,2,5,N,Y
2345.643129,8.37E-07,1,5,N,N
2088.743257,-6.76E-06,3,5,N,Y
1767.193057,-6.78E-61,4,5,Y,Y
2294.074892,-1.34E-05,2,7,N,Y
3020.686941,4.35E-07,1,7,N,N
1953.693254,-1.34E-06,3,7,N,Y
1650.630413,-1.13E-23,4,7,Y,Y
2805.71337,-1.36E-05,2,8,N,Y
4221.553994,3.72E-07,1,8,N,N
2461.232989,-3.13E-06,3,8,N,Y
2040.097512,-8.57E-10,4,8,Y,Y
170.4307489,5.34E-07,2,13,N,N
170.4316011,5.34E-07,1,13,N,N
170.4487222,5.40E-07,3,13,N,N
1914.218778,0.000705359,4,153,Y,N
4426.9719,-1.94E-05,2,14,N,Y
4605.754012,1.10E-05,1,14,N,N
4427.390777,-1.92E-05,3,14,N,Y
4032.903568,0,4,14,Y,N
1658.280811,6.21E-07,2,20,N,N
1658.297882,6.67E-07,1,20,N,N
1658.311929,6.21E-07,3,20,N,N
1579.599391,-1.72E-05,4,20,Y,Y
1882.52133,1.40E-06,2,22,N,N
1882.521589,1.41E-06,1,22,N,N
1882.557265,1.39E-06,3,22,N,N
1842.351388,0,4,22,Y,N
3693.307337,-5.31E-05,2,28,N,Y
4843.692863,3.27E-06,1,28,N,N
3673.250246,-3.60E-05,3,28,N,Y
2979.215589,0,4,28,Y,N
216.7538639,5.05E-07,2,30,N,N
216.7541497,5.04E-07,1,30,N,N
192.8307646,1.22E-05,3,30,N,N
2590.531473,0.000242125,3,251,Y,N
1319.305954,-3.63E-05,2,31,N,Y
2018.87136,3.57E-06,1,31,N,N
838.4125569,-2.06E-09,3,31,Y,Y
1319.499305,-3.63E-05,4,31,N,Y
1059.160138,-4.91E-06,2,33,N,Y
1115.981443,1.62E-06,1,33,N,N
927.525672,-1.21E-17,3,33,Y,Y
1016.892086,-9.91E-72,4,33,N,Y
2155.647897,0.00018596,4,211,Y,N
5135.292624,5.05E-05,1,34,N,N
5140.778621,5.09E-05,3,34,N,N
5751.183329,1.47E-05,4,34,N,N
2419.193281,9.79E-06,2,35,N,N
2419.193592,9.81E-06,1,35,N,N
2083.4036,0.000426418,3,35,N,N
1088.297127,0.000155214,4,260,Y,N
447.8314258,-3.90E-06,2,36,N,Y
538.5028538,7.50E-07,1,36,N,N
383.0345768,-5.36E-12,3,36,N,Y
381.6478712,-1.85E-13,4,36,Y,Y
77.94130786,-3.78E-08,2,37,N,Y
79.37139359,4.26E-08,1,37,N,N
77.94302788,-3.69E-08,3,37,N,Y
77.76527176,-9.22E-09,4,37,Y,Y
1948.181141,6.14E-06,2,39,N,N
2009.041381,0.000129278,4,266,Y,N
755.8151453,2.97E-06,3,39,N,N
751.0871379,2.80E-06,4,39,N,N
2834.491008,7.76E-06,2,41,N,N
2834.915152,8.84E-06,1,41,N,N
2834.494128,8.23E-06,3,41,N,N
584.0792083,0.000120886,4,161,Y,N
828.2721515,-4.62E-06,2,42,N,Y
959.4940596,7.05E-07,1,42,N,N
772.5730259,-8.15E-14,3,42,N,Y
729.5204769,-1.80E-223,4,42,Y,Y
814.5014554,1.52E-07,2,43,N,N
814.5267827,1.68E-07,1,43,N,N
775.4778736,1.25E-05,3,43,N,N
1318.071394,0.000119362,4,121,Y,N
1146.584036,8.65E-07,2,44,N,N
1146.643537,9.37E-07,1,44,N,N
1039.422901,6.30E-05,3,44,N,N
5980.899252,7.21E-05,2,69,Y,N
5135.292624,5.05E-05,2,34,Y,N
462.4888893,3.90E-07,1,45,N,N
462.5110005,3.93E-07,3,45,N,N
462.4915721,3.88E-07,4,45,N,N
2535.091188,8.42E-06,2,53,N,N
2232.033623,4.79E-05,3,182,Y,N
884.6993661,1.82E-06,3,53,N,N
798.9520474,7.70E-07,4,53,N,N
2787.273375,-9.82E-06,2,55,N,Y
3021.513605,8.96E-07,1,55,N,N
2788.295692,-9.71E-06,3,55,N,Y
2603.827677,-2.04E-06,4,55,Y,Y
384.7276336,-6.16E-07,2,58,N,Y
396.8074201,5.49E-07,1,58,N,N
358.4083057,-1.99E-11,3,58,Y,Y
388.0675819,3.22E-09,4,58,N,N
1421.225899,3.49E-06,2,61,N,N
1421.226627,3.50E-06,1,61,N,N
1408.255709,1.16E-05,3,61,N,N
1307.776463,0,4,61,Y,N
3786.71464,4.23E-05,4,205,Y,N
1809.477971,1.61E-05,1,62,N,N
1811.13805,1.63E-05,3,62,N,N
1809.553354,1.61E-05,4,62,N,N
2109.173977,-4.09E-06,2,63,N,Y
2182.640779,1.29E-06,1,63,N,N
2109.3518,-4.03E-06,3,63,N,Y
2082.787548,-9.01E-07,4,63,Y,Y
1535.208711,-1.29E-05,2,65,N,Y
2221.118316,7.32E-07,1,65,N,N
1371.38688,-2.27E-06,3,65,N,Y
1168.463251,-7.91E-55,4,65,Y,Y
21375.25528,0.000100279,2,66,N,N
21375.25528,0.000100277,1,66,N,N
9053.930323,0.006378907,3,66,N,N
1427.794222,4.18E-05,3,105,Y,N
739.3799934,1.24E-06,2,68,N,N
739.3801241,1.25E-06,1,68,N,N
538.5461946,7.01E-05,3,68,N,N
997.7877499,3.61E-05,4,44,Y,N
1457.766572,2.67E-05,3,270,Y,N
5980.899264,7.21E-05,1,69,N,N
5991.831088,7.55E-05,3,69,N,N
5981.354908,7.21E-05,4,69,N,N
1243.58989,4.82E-06,2,71,N,N
1243.589923,4.82E-06,1,71,N,N
1243.66883,5.10E-06,3,71,N,N
192.1585309,1.88E-05,4,30,Y,N
3287.709688,-1.18E-05,2,72,N,Y
4235.123659,2.94E-07,1,72,N,N
3252.741494,-7.39E-06,3,72,N,Y
2610.357392,-1.31E-266,4,72,Y,Y
1201.378327,-2.13E-06,2,73,N,Y
1240.470842,4.79E-07,1,73,N,N
1190.782709,-6.38E-07,3,73,N,Y
1106.147052,0,4,73,Y,N
3055.034734,1.81E-05,2,79,N,N
3055.035012,1.81E-05,1,79,N,N
3055.9927,1.81E-05,3,79,N,N
2587.327546,0,4,79,Y,N
1692.929804,-1.70E-06,2,80,N,Y
1731.378225,9.68E-07,1,80,N,N
1680.479947,-6.51E-07,3,80,N,Y
1621.552504,-2.95E-11,4,80,Y,Y
1890.602449,1.59E-06,2,83,N,N
1891.028135,2.05E-06,1,83,N,N
1890.660646,1.59E-06,3,83,N,N
1858.675483,-7.41E-88,4,83,Y,Y
667.9647428,8.46E-07,2,85,N,N
667.9653319,8.47E-07,1,85,N,N
667.984391,8.65E-07,3,85,N,N
635.9313029,0,4,85,Y,N
781.9553136,-1.04E-06,2,86,N,Y
800.8572374,3.53E-07,1,86,N,N
782.0085456,-1.02E-06,3,86,N,Y
725.6826476,-1.58E-154,4,86,Y,Y
711.3823073,-7.78E-07,2,89,N,Y
739.2372695,1.98E-07,1,89,N,N
689.7504447,-1.24E-07,3,89,N,Y
657.5839565,-1.29E-21,4,89,Y,Y
987.1566719,2.79E-06,2,91,N,N
973.3558577,3.23E-06,1,91,N,N
957.9641873,4.88E-06,3,91,N,N
1809.477962,1.61E-05,2,62,Y,N
1817.84247,-2.19E-06,2,100,N,Y
1926.64422,1.75E-07,1,100,N,N
1803.76009,-6.98E-07,3,100,Y,Y
1817.838035,-2.18E-06,4,100,N,Y
2455.801485,-1.84E-05,2,102,N,Y
3370.660847,7.37E-07,1,102,N,N
3302.862194,0,3,102,N,N
1946.676078,0,4,102,Y,N
378.0306501,-3.36E-07,2,103,N,Y
393.8546069,3.63E-08,1,103,N,N
378.0951779,-3.34E-07,3,103,N,Y
337.5041199,0,4,103,Y,N
1465.804354,3.79E-07,2,105,N,N
1466.863856,8.01E-07,1,105,N,N
8019.168388,1.18E-05,4,66,Y,N
1450.565563,0,4,105,N,N
1234.086765,9.02E-06,2,108,N,N
1234.086805,9.02E-06,1,108,N,N
1170.769832,2.80E-05,3,108,N,N
2056.805246,8.31E-06,4,35,Y,N
428.6258994,-1.64E-06,2,109,N,Y
452.7311248,6.71E-07,1,109,N,N
323.4634934,-9.93E-17,3,109,Y,Y
415.2473713,0,4,109,N,N
4011.276633,-2.01E-05,2,113,N,Y
4507.574945,1.77E-06,1,113,N,N
4012.238191,-1.96E-05,3,113,N,Y
3940.884542,-1.61E-06,4,113,Y,Y
4502.495022,1.67E-05,2,118,N,N
4502.495468,1.67E-05,1,118,N,N
4273.196412,0.000363939,3,118,N,N
689.3542817,4.62E-06,1,53,Y,N
1394.590375,-3.77E-06,2,120,N,Y
1484.638631,9.92E-07,1,120,N,N
1394.209547,-3.08E-06,3,120,N,Y
1345.313954,0,4,120,Y,N
4480.135201,2.61E-05,2,121,N,N
2776.197601,4.71E-05,1,121,N,N
1877.616765,0.000191045,3,121,N,N
120.084991,4.32E-06,3,248,Y,N
6911.098422,-5.65E-05,2,126,N,Y
7406.534438,1.87E-05,1,126,N,N
6914.47351,-5.10E-05,3,126,N,Y
6249.562247,0,4,126,Y,N
2107.979084,1.91E-07,2,127,N,N
2109.277924,6.38E-07,1,127,N,N
2043.97696,5.30E-05,3,127,N,N
735.1858233,2.33E-06,1,39,Y,N
951.4982109,1.98E-06,2,214,Y,N
1349.636178,1.70E-06,1,129,N,N
1349.727874,1.70E-06,3,129,N,N
1349.641449,1.69E-06,4,129,N,N
1532.459801,-1.12E-05,2,135,N,Y
1945.878043,4.24E-07,1,135,N,N
1533.16539,-1.08E-05,3,135,N,Y
1425.987302,-8.20E-20,4,135,Y,Y
8807.157199,-0.000206384,2,138,N,Y
12520.06812,1.20E-05,1,138,N,N
8729.035826,-0.000143675,3,138,N,Y
6371.642655,-1.51E-09,4,138,Y,Y
9206.522614,0.000158076,2,142,N,N
9206.522614,0.000158078,1,142,N,N
6263.383618,0.003852375,3,142,N,N
1349.635183,1.70E-06,2,129,Y,N
6111.168927,-2.40E-05,2,147,N,Y
6285.920101,9.27E-06,1,147,N,N
6086.206125,-1.16E-05,3,147,N,Y
5409.032857,0,4,147,Y,N
2116.289292,1.15E-05,2,148,N,N
2116.290208,1.15E-05,1,148,N,N
